,Carrera,Edad,Trabajo,Beca,Genero,EstadoCivil,CantidadHijos,Prom_cAplazo,A/P,Desemp1R,Desemp2N,Desemp3RN
0,CPN,25,N,N,F,Soltero,0,6.66,4.571428571428571,1,0,1
1,LA,25,S,N,M,Soltero,0,7.85,5.142857142857143,1,1,1
2,CPN,26,N,S,M,Soltero,0,6.88,3.4285714285714284,0,0,0
3,CPN,24,N,S,F,Soltero,0,6.93,3.4285714285714284,0,0,0
4,CPN,25,S,N,F,Soltero,0,6.54,5.142857142857143,1,0,1
5,LA,25,S,N,F,Soltero,0,6.69,2.7142857142857144,0,0,0
6,CPN,25,N,N,F,Soltero,0,6.6,4.714285714285714,1,0,1
7,CPN,26,N,N,M,Soltero,0,5.97,2.857142857142857,0,0,0
8,CPN,25,N,N,M,Soltero,0,7.48,3.142857142857143,0,1,0
9,CPN,24,N,N,F,Soltero,0,7.63,3.7142857142857144,0,1,1
10,LA,25,S,N,F,Soltero,0,7.93,5.142857142857143,1,1,1
11,CPN,24,S,N,M,Soltero,0,7.79,5.0,1,1,1
12,CPN,26,S,N,F,Soltero,0,5.96,1.8571428571428572,0,0,0
13,CPN,26,N,N,F,Soltero,0,6.07,2.2857142857142856,0,0,0
14,CPN,24,S,N,F,Soltero,3,5.82,3.2857142857142856,0,0,0
15,LA,25,N,N,F,Soltero,0,7.08,4.285714285714286,1,1,1
16,CPN,25,N,S,M,Soltero,0,6.89,4.428571428571429,1,0,1
17,CPN,25,N,N,F,Casado,0,6.47,4.571428571428571,1,0,1
18,CPN,25,N,N,F,Soltero,0,7.0,4.0,1,1,1
19,CPN,25,S,S,F,Soltero,0,6.47,3.0,0,0,0
20,CPN,26,N,N,F,Soltero,2,6.69,1.4285714285714286,0,0,0
21,LA,26,N,N,F,Soltero,0,7.0,3.7142857142857144,0,1,0
22,CPN,24,N,N,F,Soltero,0,6.81,5.142857142857143,1,0,1
23,CPN,24,N,N,F,Soltero,0,6.95,4.285714285714286,1,0,1
24,LE,25,S,N,M,Soltero,0,7.24,4.714285714285714,1,1,1
25,CPN,24,N,N,M,Soltero,0,7.2,4.714285714285714,1,1,1
26,CPN,25,N,N,F,Soltero,0,6.33,3.7142857142857144,0,0,0
27,CPN,25,N,N,M,Soltero,0,8.0,5.142857142857143,1,1,1
28,CPN,25,N,S,M,Soltero,0,7.18,4.0,1,1,1
29,CPN,25,N,S,M,Soltero,0,6.14,3.4285714285714284,0,0,0
30,CPN,25,N,N,F,Soltero,0,4.77,2.7142857142857144,0,0,0
31,CPN,28,N,N,F,Soltero,0,6.04,2.142857142857143,0,0,0
32,CPN,25,N,N,M,Soltero,0,7.4,5.142857142857143,1,1,1
33,LA,24,N,N,F,Soltero,0,7.22,4.714285714285714,1,1,1
34,LA,24,S,N,M,Soltero,0,7.34,5.142857142857143,1,1,1
35,CPN,25,N,N,M,Soltero,0,5.8,3.2857142857142856,0,0,0
36,CPN,24,S,N,F,Soltero,0,5.6,1.8571428571428572,0,0,0
37,CPN,24,S,N,F,Soltero,0,7.15,5.142857142857143,1,1,1
38,CPN,24,S,N,F,Soltero,0,7.67,5.142857142857143,1,1,1
39,LA,26,S,N,F,Soltero,0,7.89,4.714285714285714,1,1,1
40,CPN,25,S,N,M,Soltero,0,7.1,3.5714285714285716,0,1,0
41,LA,25,N,N,M,Soltero,0,6.69,3.5714285714285716,0,0,0
42,CPN,24,S,N,M,Soltero,0,6.43,3.142857142857143,0,0,0
43,CPN,24,N,N,M,Soltero,0,7.14,4.857142857142857,1,1,1
44,CPN,25,N,N,F,Soltero,0,6.97,3.4285714285714284,0,0,0
45,CPN,26,N,S,F,Soltero,0,6.33,3.2857142857142856,0,0,0
46,CPN,24,S,N,F,Soltero,0,6.93,4.428571428571429,1,0,1
47,CPN,24,S,N,F,Soltero,0,6.31,5.142857142857143,1,0,1
48,CPN,25,N,N,F,Soltero,0,8.16,4.285714285714286,1,1,1
49,CPN,24,N,N,F,Soltero,0,7.34,4.428571428571429,1,1,1
50,CPN,26,N,S,F,Casado,0,5.11,1.4285714285714286,0,0,0
51,CPN,24,S,N,M,Soltero,0,8.4,4.857142857142857,1,1,1
52,CPN,25,S,N,M,Soltero,0,8.32,5.142857142857143,1,1,1
53,LA,24,S,N,M,Soltero,0,7.53,5.142857142857143,1,1,1
54,CPN,25,N,S,F,Soltero,0,7.0,3.857142857142857,0,1,0
55,CPN,25,S,N,F,Soltero,0,6.24,3.2857142857142856,0,0,0
56,CPN,25,S,S,F,Soltero,0,7.07,4.857142857142857,1,1,1
57,CPN,24,N,N,F,Soltero,0,6.67,4.428571428571429,1,0,1
58,CPN,24,S,N,F,Soltero,0,7.29,4.857142857142857,1,1,1
59,CPN,25,N,N,M,Soltero,0,6.72,4.142857142857143,1,0,0
60,CPN,25,N,S,F,Soltero,0,6.33,3.2857142857142856,0,0,0
61,LA,25,S,N,M,Soltero,0,6.68,4.428571428571429,1,0,1
62,CPN,25,N,N,F,Soltero,0,6.33,3.4285714285714284,0,0,0
63,CPN,25,N,N,F,Soltero,0,8.18,5.142857142857143,1,1,1
64,CPN,25,N,N,M,Soltero,1,6.24,2.4285714285714284,0,0,0
65,LA,25,S,N,F,Soltero,0,6.93,5.142857142857143,1,0,1
66,CPN,24,N,N,F,Soltero,0,7.83,2.4285714285714284,0,1,0
67,CPN,25,S,N,F,Soltero,0,6.84,4.571428571428571,1,0,1
68,CPN,26,N,S,F,Soltero,0,4.47,1.7142857142857142,0,0,0
69,CPN,24,N,N,M,Soltero,0,6.16,4.0,1,0,0
70,LE,26,N,S,M,Soltero,0,7.76,4.714285714285714,1,1,1
71,CPN,24,S,N,F,Soltero,0,6.31,4.714285714285714,1,0,1
72,CPN,27,N,N,F,Casado,0,6.21,3.142857142857143,0,0,0
73,LA,25,S,N,F,Soltero,1,6.98,4.428571428571429,1,0,1
74,CPN,24,N,N,M,Soltero,0,5.0,1.2857142857142858,0,0,0
75,CPN,26,S,N,F,Soltero,0,6.2,3.142857142857143,0,0,0
76,CPN,24,S,N,M,Soltero,0,6.27,2.7142857142857144,0,0,0
77,CPN,26,N,N,F,Soltero,0,6.11,3.0,0,0,0
78,CPN,25,N,N,F,Soltero,0,6.68,4.714285714285714,1,0,1
79,CPN,26,N,N,M,Soltero,0,6.73,5.142857142857143,1,0,1
80,CPN,24,S,N,F,Soltero,0,7.67,4.428571428571429,1,1,1
81,CPN,24,S,N,F,Soltero,0,6.95,2.2857142857142856,0,0,0
82,CPN,25,N,N,F,Soltero,0,7.17,5.142857142857143,1,1,1
83,CPN,24,S,S,M,Soltero,0,7.73,5.0,1,1,1
84,LA,24,S,N,F,Soltero,0,7.63,5.142857142857143,1,1,1
85,CPN,25,S,N,M,Soltero,0,5.88,2.4285714285714284,0,0,0
86,CPN,24,N,N,F,Soltero,0,6.58,4.285714285714286,1,0,1
87,CPN,24,S,N,F,Soltero,0,7.59,4.5,1,1,1
88,LA,28,S,N,M,Soltero,0,7.5,2.857142857142857,0,1,0
89,CPN,27,N,N,F,Soltero,0,5.4,2.0,0,0,0
90,CPN,25,S,N,F,Soltero,0,5.8,3.142857142857143,0,0,0
91,CPN,25,N,S,M,Soltero,0,6.46,3.4285714285714284,0,0,0
92,LA,24,S,N,M,Soltero,0,6.5,4.857142857142857,1,0,1
93,CPN,25,S,N,M,Soltero,0,6.27,2.0,0,0,0
94,CPN,27,S,N,F,Casado,2,7.38,3.0,0,1,0
95,CPN,24,S,N,F,Soltero,0,7.19,5.142857142857143,1,1,1
96,LE,24,N,N,F,Soltero,0,6.9,4.714285714285714,1,0,1
97,LA,24,S,N,M,Soltero,0,7.54,4.857142857142857,1,1,1
98,CPN,24,N,S,M,Soltero,0,5.83,2.5714285714285716,0,0,0
99,CPN,25,N,N,M,Soltero,0,5.87,2.5714285714285716,0,0,0
100,CPN,25,N,N,M,Soltero,0,7.06,4.285714285714286,1,1,1
101,LA,25,S,N,M,Soltero,0,7.68,3.857142857142857,0,1,1
102,LA,24,N,N,M,Soltero,0,7.31,7.25,1,1,1
103,CPN,25,N,N,F,Soltero,0,6.18,4.285714285714286,1,0,0
104,CPN,24,S,N,F,Soltero,0,6.96,5.142857142857143,1,0,1
105,LA,28,N,N,M,Soltero,0,6.0,3.0,0,0,0
106,LA,26,N,N,F,Soltero,0,6.68,4.285714285714286,1,0,1
107,CPN,24,N,N,M,Soltero,0,6.68,2.857142857142857,0,0,0
108,LA,28,S,N,M,Soltero,0,7.32,4.857142857142857,1,1,1
109,CPN,28,S,N,M,Soltero,0,6.45,4.5,1,0,1
110,LE,25,N,N,M,Soltero,0,7.59,5.142857142857143,1,1,1
111,CPN,26,N,S,F,Soltero,0,5.84,2.7142857142857144,0,0,0
112,LA,26,N,N,M,Soltero,0,7.64,4.571428571428571,1,1,1
113,CPN,26,S,N,F,Soltero,0,6.11,2.2857142857142856,0,0,0
114,CPN,25,N,N,F,Soltero,1,5.97,3.2857142857142856,0,0,0
115,CPN,25,N,N,M,Soltero,0,6.15,3.2857142857142856,0,0,0
116,CPN,24,S,N,F,Soltero,0,6.92,2.5714285714285716,0,0,0
117,CPN,24,N,S,F,Soltero,0,7.33,5.142857142857143,1,1,1
118,CPN,25,N,N,F,Soltero,0,6.56,3.4285714285714284,0,0,0
119,LA,25,N,N,F,Soltero,0,6.39,3.2857142857142856,0,0,0
120,CPN,25,S,N,F,Soltero,0,5.82,2.5714285714285716,0,0,0
121,CPN,24,N,S,F,Soltero,0,7.49,5.142857142857143,1,1,1
122,CPN,26,N,N,F,Soltero,0,6.27,4.571428571428571,1,0,1
123,CPN,24,N,N,M,Soltero,0,6.0,4.428571428571429,1,0,0
124,LA,25,S,N,M,Soltero,0,7.03,5.2,1,1,1
125,CPN,29,N,S,M,Soltero,0,5.81,3.0,0,0,0
126,CPN,27,N,N,F,Soltero,0,5.65,3.142857142857143,0,0,0
127,LA,24,N,N,F,Soltero,0,5.52,2.142857142857143,0,0,0
128,CPN,25,N,N,M,Soltero,0,7.53,4.714285714285714,1,1,1
129,CPN,26,N,S,F,Soltero,0,6.35,3.142857142857143,0,0,0
130,CPN,25,N,N,M,Soltero,0,7.54,5.0,1,1,1
131,LA,24,N,N,M,Soltero,0,6.95,5.142857142857143,1,0,1
132,CPN,25,S,N,M,Soltero,0,6.97,4.571428571428571,1,0,1
133,LLO,26,S,N,M,Soltero,0,7.0,0.3333333333333333,0,1,0
134,CPN,24,N,N,F,Soltero,0,8.15,5.142857142857143,1,1,1
135,CPN,27,N,N,M,Soltero,0,6.26,4.0,1,0,0
136,CPN,26,S,N,F,Soltero,0,7.15,4.571428571428571,1,1,1
137,LA,25,N,N,F,Soltero,0,7.4,5.142857142857143,1,1,1
138,CPN,26,N,N,F,Soltero,0,6.42,3.2857142857142856,0,0,0
139,CPN,25,N,N,F,Soltero,0,5.95,3.5714285714285716,0,0,0
140,CPN,25,N,N,M,Soltero,0,6.83,5.428571428571429,1,0,1
141,CPN,24,S,S,M,Soltero,0,7.19,4.285714285714286,1,1,1
142,LA,24,S,N,M,Soltero,0,6.61,3.142857142857143,0,0,0
143,CPN,25,S,N,M,Soltero,0,7.44,5.142857142857143,1,1,1
144,CPN,25,S,N,F,Soltero,0,5.59,3.7142857142857144,0,0,0
145,CPN,24,N,N,M,Soltero,0,7.34,4.857142857142857,1,1,1
146,CPN,25,N,N,M,Soltero,0,6.16,4.428571428571429,1,0,0
147,CPN,25,N,N,M,Soltero,0,6.23,2.2857142857142856,0,0,0
