Carrera;Edad;Trabajo;Beca;Genero;EstadoCivil;CantidadHijos;Prom_cAplazo;A/P;Desemp1R;Desemp2N;Desemp3RN
CPN;25;N;N;F;Soltero;0;6,66;4,57;1;0;1
LA;25;S;N;M;Soltero;0;7,85;5,14;1;1;1
CPN;26;N;S;M;Soltero;0;6,88;3,43;0;0;0
CPN;24;N;S;F;Soltero;0;6,93;3,43;0;0;0
CPN;25;S;N;F;Soltero;0;6,54;5,14;1;0;1
LA;25;S;N;F;Soltero;0;6,69;2,71;0;0;0
CPN;25;N;N;F;Soltero;0;6,6;4,71;1;0;1
CPN;26;N;N;M;Soltero;0;5,97;2,86;0;0;0
CPN;25;N;N;M;Soltero;0;7,48;3,14;0;1;0
CPN;24;N;N;F;Soltero;0;7,63;3,71;0;1;1
LA;25;S;N;F;Soltero;0;7,93;5,14;1;1;1
CPN;24;S;N;M;Soltero;0;7,79;5,00;1;1;1
CPN;26;S;N;F;Soltero;0;5,96;1,86;0;0;0
CPN;26;N;N;F;Soltero;0;6,07;2,29;0;0;0
CPN;24;S;N;F;Soltero;3;5,82;3,29;0;0;0
LA;25;N;N;F;Soltero;0;7,08;4,29;1;1;1
CPN;25;N;S;M;Soltero;0;6,89;4,43;1;0;1
CPN;25;N;N;F;Casado;0;6,47;4,57;1;0;1
CPN;25;N;N;F;Soltero;0;7;4,00;1;1;1
CPN;25;S;S;F;Soltero;0;6,47;3,00;0;0;0
CPN;26;N;N;F;Soltero;2;6,69;1,43;0;0;0
LA;26;N;N;F;Soltero;0;7;3,71;0;1;0
CPN;24;N;N;F;Soltero;0;6,81;5,14;1;0;1
CPN;24;N;N;F;Soltero;0;6,95;4,29;1;0;1
LE;25;S;N;M;Soltero;0;7,24;4,71;1;1;1
CPN;24;N;N;M;Soltero;0;7,2;4,71;1;1;1
CPN;25;N;N;F;Soltero;0;6,33;3,71;0;0;0
CPN;25;N;N;M;Soltero;0;8;5,14;1;1;1
CPN;25;N;S;M;Soltero;0;7,18;4,00;1;1;1
CPN;25;N;S;M;Soltero;0;6,14;3,43;0;0;0
CPN;25;N;N;F;Soltero;0;4,77;2,71;0;0;0
CPN;28;N;N;F;Soltero;0;6,04;2,14;0;0;0
CPN;25;N;N;M;Soltero;0;7,4;5,14;1;1;1
LA;24;N;N;F;Soltero;0;7,22;4,71;1;1;1
LA;24;S;N;M;Soltero;0;7,34;5,14;1;1;1
CPN;25;N;N;M;Soltero;0;5,8;3,29;0;0;0
CPN;24;S;N;F;Soltero;0;5,6;1,86;0;0;0
CPN;24;S;N;F;Soltero;0;7,15;5,14;1;1;1
CPN;24;S;N;F;Soltero;0;7,67;5,14;1;1;1
LA;26;S;N;F;Soltero;0;7,89;4,71;1;1;1
CPN;25;S;N;M;Soltero;0;7,1;3,57;0;1;0
LA;25;N;N;M;Soltero;0;6,69;3,57;0;0;0
CPN;24;S;N;M;Soltero;0;6,43;3,14;0;0;0
CPN;24;N;N;M;Soltero;0;7,14;4,86;1;1;1
CPN;25;N;N;F;Soltero;0;6,97;3,43;0;0;0
CPN;26;N;S;F;Soltero;0;6,33;3,29;0;0;0
CPN;24;S;N;F;Soltero;0;6,93;4,43;1;0;1
CPN;24;S;N;F;Soltero;0;6,31;5,14;1;0;1
CPN;25;N;N;F;Soltero;0;8,16;4,29;1;1;1
CPN;24;N;N;F;Soltero;0;7,34;4,43;1;1;1
CPN;26;N;S;F;Casado;0;5,11;1,43;0;0;0
CPN;24;S;N;M;Soltero;0;8,4;4,86;1;1;1
CPN;25;S;N;M;Soltero;0;8,32;5,14;1;1;1
LA;24;S;N;M;Soltero;0;7,53;5,14;1;1;1
CPN;25;N;S;F;Soltero;0;7;3,86;0;1;0
CPN;25;S;N;F;Soltero;0;6,24;3,29;0;0;0
CPN;25;S;S;F;Soltero;0;7,07;4,86;1;1;1
CPN;24;N;N;F;Soltero;0;6,67;4,43;1;0;1
CPN;24;S;N;F;Soltero;0;7,29;4,86;1;1;1
CPN;25;N;N;M;Soltero;0;6,72;4,14;1;0;0
CPN;25;N;S;F;Soltero;0;6,33;3,29;0;0;0
LA;25;S;N;M;Soltero;0;6,68;4,43;1;0;1
CPN;25;N;N;F;Soltero;0;6,33;3,43;0;0;0
CPN;25;N;N;F;Soltero;0;8,18;5,14;1;1;1
CPN;25;N;N;M;Soltero;1;6,24;2,43;0;0;0
LA;25;S;N;F;Soltero;0;6,93;5,14;1;0;1
CPN;24;N;N;F;Soltero;0;7,83;2,43;0;1;0
CPN;25;S;N;F;Soltero;0;6,84;4,57;1;0;1
CPN;26;N;S;F;Soltero;0;4,47;1,71;0;0;0
CPN;24;N;N;M;Soltero;0;6,16;4,00;1;0;0
LE;26;N;S;M;Soltero;0;7,76;4,71;1;1;1
CPN;24;S;N;F;Soltero;0;6,31;4,71;1;0;1
CPN;27;N;N;F;Casado;0;6,21;3,14;0;0;0
LA;25;S;N;F;Soltero;1;6,98;4,43;1;0;1
CPN;24;N;N;M;Soltero;0;5;1,29;0;0;0
CPN;26;S;N;F;Soltero;0;6,2;3,14;0;0;0
CPN;24;S;N;M;Soltero;0;6,27;2,71;0;0;0
CPN;26;N;N;F;Soltero;0;6,11;3,00;0;0;0
CPN;25;N;N;F;Soltero;0;6,68;4,71;1;0;1
CPN;26;N;N;M;Soltero;0;6,73;5,14;1;0;1
CPN;24;S;N;F;Soltero;0;7,67;4,43;1;1;1
CPN;24;S;N;F;Soltero;0;6,95;2,29;0;0;0
CPN;25;N;N;F;Soltero;0;7,17;5,14;1;1;1
CPN;24;S;S;M;Soltero;0;7,73;5,00;1;1;1
LA;24;S;N;F;Soltero;0;7,63;5,14;1;1;1
CPN;25;S;N;M;Soltero;0;5,88;2,43;0;0;0
CPN;24;N;N;F;Soltero;0;6,58;4,29;1;0;1
CPN;24;S;N;F;Soltero;0;7,59;4,50;1;1;1
LA;28;S;N;M;Soltero;0;7,5;2,86;0;1;0
CPN;27;N;N;F;Soltero;0;5,4;2,00;0;0;0
CPN;25;S;N;F;Soltero;0;5,8;3,14;0;0;0
CPN;25;N;S;M;Soltero;0;6,46;3,43;0;0;0
LA;24;S;N;M;Soltero;0;6,5;4,86;1;0;1
CPN;25;S;N;M;Soltero;0;6,27;2,00;0;0;0
CPN;27;S;N;F;Casado;2;7,38;3,00;0;1;0
CPN;24;S;N;F;Soltero;0;7,19;5,14;1;1;1
LE;24;N;N;F;Soltero;0;6,9;4,71;1;0;1
LA;24;S;N;M;Soltero;0;7,54;4,86;1;1;1
CPN;24;N;S;M;Soltero;0;5,83;2,57;0;0;0
CPN;25;N;N;M;Soltero;0;5,87;2,57;0;0;0
CPN;25;N;N;M;Soltero;0;7,06;4,29;1;1;1
LA;25;S;N;M;Soltero;0;7,68;3,86;0;1;1
LA;24;N;N;M;Soltero;0;7,31;7,25;1;1;1
CPN;25;N;N;F;Soltero;0;6,18;4,29;1;0;0
CPN;24;S;N;F;Soltero;0;6,96;5,14;1;0;1
LA;28;N;N;M;Soltero;0;6;3,00;0;0;0
LA;26;N;N;F;Soltero;0;6,68;4,29;1;0;1
CPN;24;N;N;M;Soltero;0;6,68;2,86;0;0;0
LA;28;S;N;M;Soltero;0;7,32;4,86;1;1;1
CPN;28;S;N;M;Soltero;0;6,45;4,50;1;0;1
LE;25;N;N;M;Soltero;0;7,59;5,14;1;1;1
CPN;26;N;S;F;Soltero;0;5,84;2,71;0;0;0
LA;26;N;N;M;Soltero;0;7,64;4,57;1;1;1
CPN;26;S;N;F;Soltero;0;6,11;2,29;0;0;0
CPN;25;N;N;F;Soltero;1;5,97;3,29;0;0;0
CPN;25;N;N;M;Soltero;0;6,15;3,29;0;0;0
CPN;24;S;N;F;Soltero;0;6,92;2,57;0;0;0
CPN;24;N;S;F;Soltero;0;7,33;5,14;1;1;1
CPN;25;N;N;F;Soltero;0;6,56;3,43;0;0;0
LA;25;N;N;F;Soltero;0;6,39;3,29;0;0;0
CPN;25;S;N;F;Soltero;0;5,82;2,57;0;0;0
CPN;24;N;S;F;Soltero;0;7,49;5,14;1;1;1
CPN;26;N;N;F;Soltero;0;6,27;4,57;1;0;1
CPN;24;N;N;M;Soltero;0;6;4,43;1;0;0
LA;25;S;N;M;Soltero;0;7,03;5,20;1;1;1
CPN;29;N;S;M;Soltero;0;5,81;3,00;0;0;0
CPN;27;N;N;F;Soltero;0;5,65;3,14;0;0;0
LA;24;N;N;F;Soltero;0;5,52;2,14;0;0;0
CPN;25;N;N;M;Soltero;0;7,53;4,71;1;1;1
CPN;26;N;S;F;Soltero;0;6,35;3,14;0;0;0
CPN;25;N;N;M;Soltero;0;7,54;5,00;1;1;1
LA;24;N;N;M;Soltero;0;6,95;5,14;1;0;1
CPN;25;S;N;M;Soltero;0;6,97;4,57;1;0;1
LLO;26;S;N;M;Soltero;0;7;0,33;0;1;0
CPN;24;N;N;F;Soltero;0;8,15;5,14;1;1;1
CPN;27;N;N;M;Soltero;0;6,26;4,00;1;0;0
CPN;26;S;N;F;Soltero;0;7,15;4,57;1;1;1
LA;25;N;N;F;Soltero;0;7,4;5,14;1;1;1
CPN;26;N;N;F;Soltero;0;6,42;3,29;0;0;0
CPN;25;N;N;F;Soltero;0;5,95;3,57;0;0;0
CPN;25;N;N;M;Soltero;0;6,83;5,43;1;0;1
CPN;24;S;S;M;Soltero;0;7,19;4,29;1;1;1
LA;24;S;N;M;Soltero;0;6,61;3,14;0;0;0
CPN;25;S;N;M;Soltero;0;7,44;5,14;1;1;1
CPN;25;S;N;F;Soltero;0;5,59;3,71;0;0;0
CPN;24;N;N;M;Soltero;0;7,34;4,86;1;1;1
CPN;25;N;N;M;Soltero;0;6,16;4,43;1;0;0
CPN;25;N;N;M;Soltero;0;6,23;2,29;0;0;0
CPN;24;N;N;M;Soltero;0;6,56;4,14;1;0;0
CPN;24;N;N;M;Soltero;0;5;1,71;0;0;0
CPN;25;N;N;F;Soltero;0;6,03;3,57;0;0;0
LE;25;S;S;F;Soltero;0;8,29;6,29;1;1;1
LA;25;S;S;F;Soltero;0;8,04;3,57;0;1;1
CPN;25;N;N;M;Soltero;0;6,8;4,71;1;0;1
LA;24;S;N;F;Soltero;0;5,73;4,33;1;0;0
CPN;24;S;N;F;Soltero;0;5,96;1,86;0;0;0
CPN;24;S;N;M;Soltero;0;6,38;3,14;0;0;0
LA;25;N;N;F;Soltero;0;6,08;3,29;0;0;0
CPN;24;N;N;F;Soltero;0;7,61;3,00;0;1;0
CPN;25;N;N;F;Soltero;0;6,77;4,57;1;0;1
CPN;25;N;N;F;Soltero;0;7;4,71;1;1;1
CPN;24;S;N;F;Soltero;0;7,58;4,71;1;1;1
CPN;25;S;N;F;Soltero;0;6,78;3,71;0;0;0
CPN;24;N;N;M;Soltero;0;6,19;3,00;0;0;0
CPN;24;N;N;F;Soltero;0;6,33;4,71;1;0;1
CPN;26;S;N;M;Soltero;0;6,46;2,71;0;0;0
CPN;24;N;N;M;Soltero;0;5,69;2,86;0;0;0
CPN;25;S;N;M;Soltero;0;6,11;3,14;0;0;0
CPN;25;N;N;F;Soltero;0;7,95;5,14;1;1;1
CPN;25;N;N;F;Soltero;0;6,14;2,71;0;0;0
CPN;47;S;N;M;Casado;0;8,16;2,43;0;1;0
