ID,Carrera,Edad,AyudaFamiliar,PlanSocial,Trabajo,Beca,HsTrabSem,Genero,EstadoCivil,SituacionPadre,SituacionMadre,CantidadHijos,ViveCon,CP,Aprobadas,Reprobadas,Prom_cAplazo,Plazo, A/P ,DesempR,DesempC
4,CPN,25,S,N,N,N,0,F,1,0,0,0,4,5501,32,12,6.66,7,  4.57 ,  30.45 ,1
5,LA,25,S,N,S,N,4,M,1,0,0,0,3,5500,36,6,7.85,7,  5.14 ,  40.37 ,1
8,CPN,26,S,N,N,S,0,M,1,0,0,0,3,5570,24,8,6.88,7,  3.43 ,  23.59 ,0
12,CPN,24,S,N,N,S,0,F,1,1,0,0,3,5500,24,6,6.93,7,  3.43 ,  23.76 ,0
13,CPN,25,S,S,S,N,2,F,1,0,0,0,3,5535,36,10,6.54,7,  5.14 ,  33.63 ,1
17,LA,25,N,N,S,N,,F,1,0,0,0,4,5587,19,7,6.69,7,  2.71 ,  18.16 ,0
18,CPN,25,S,N,N,N,0,F,1,0,0,0,3,5500,33,10,6.6,7,  4.71 ,  31.11 ,1
21,CPN,26,S,N,N,N,0,M,1,0,0,0,3,5570,20,17,5.97,7,  2.86 ,  17.06 ,0
22,CPN,25,S,N,N,N,0,M,1,0,0,0,3,5600,22,3,7.48,7,  3.14 ,  23.51 ,0
24,CPN,24,S,N,N,N,0,F,1,0,0,0,3,5533,26,6,7.63,7,  3.71 ,  28.34 ,1
27,LA,25,S,N,S,N,3,F,1,0,0,0,3,5529,36,4,7.93,7,  5.14 ,  40.78 ,1
29,CPN,24,S,N,S,N,4,M,1,0,0,0,3,5500,35,4,7.79,7,  5.00 ,  38.95 ,1
30,CPN,26,N,N,S,N,,F,1,0,0,0,3,5521,13,10,5.96,7,  1.86 ,  11.07 ,0
33,CPN,26,S,N,N,N,0,F,1,1,0,0,3,5511,16,12,6.07,7,  2.29 ,  13.87 ,0
34,CPN,24,S,N,S,N,,F,1,0,0,3,3,5570,23,16,5.82,7,  3.29 ,  19.12 ,0
36,LA,25,S,N,N,N,0,F,1,0,0,0,3,5521,30,7,7.08,7,  4.29 ,  30.34 ,1
38,CPN,25,S,N,N,S,0,M,1,0,0,0,3,5577,31,7,6.89,7,  4.43 ,  30.51 ,1
39,CPN,25,S,N,N,N,0,F,5,1,0,0,4,5500,32,15,6.47,7,  4.57 ,  29.58 ,1
40,CPN,25,S,S,N,N,0,F,1,0,0,0,3,5519,28,7,7,7,  4.00 ,  28.00 ,1
42,CPN,25,N,N,S,S,1,F,1,0,0,0,3,5519,21,11,6.47,7,  3.00 ,  19.41 ,0
44,CPN,26,S,N,N,N,0,F,1,0,0,2,4,5515,10,6,6.69,7,  1.43 ,  9.56 ,0
45,LA,26,S,N,N,N,0,F,1,0,0,0,3,5539,26,8,7,7,  3.71 ,  26.00 ,1
46,CPN,24,S,N,N,N,0,F,1,0,0,0,3,5503,36,12,6.81,7,  5.14 ,  35.02 ,1
47,CPN,24,S,N,N,N,0,F,1,0,0,0,3,5500,30,9,6.95,7,  4.29 ,  29.79 ,1
48,LE,25,S,N,S,N,4,M,1,1,0,0,2,5533,33,5,7.24,7,  4.71 ,  34.13 ,1
50,CPN,24,N,S,N,N,0,M,1,0,0,0,3,5509,33,8,7.2,7,  4.71 ,  33.94 ,1
51,CPN,25,S,S,N,N,0,F,1,1,0,0,3,5600,26,14,6.33,7,  3.71 ,  23.51 ,0
53,CPN,25,S,N,N,N,0,M,1,1,0,0,3,5521,36,2,8,7,  5.14 ,  41.14 ,1
56,CPN,25,S,N,N,S,0,M,1,1,0,0,3,5500,28,5,7.18,7,  4.00 ,  28.72 ,1
58,CPN,25,S,N,N,S,0,M,1,0,0,0,3,5515,24,11,6.14,7,  3.43 ,  21.05 ,0
59,CPN,25,S,N,N,N,0,F,1,0,0,0,3,5501,19,26,4.77,7,  2.71 ,  12.95 ,0
60,CPN,28,S,N,N,N,0,F,1,0,0,0,3,5600,15,11,6.04,7,  2.14 ,  12.94 ,0
62,CPN,25,S,N,N,N,0,M,1,0,0,0,3,5500,36,7,7.4,7,  5.14 ,  38.06 ,1
64,LA,24,S,N,N,N,0,F,1,0,0,0,3,5519,33,8,7.22,7,  4.71 ,  34.04 ,1
66,LA,24,S,N,S,N,4,M,1,0,0,0,3,5500,36,6,7.34,7,  5.14 ,  37.75 ,1
68,CPN,25,S,N,N,N,0,M,1,0,0,0,3,5533,23,17,5.8,7,  3.29 ,  19.06 ,0
71,CPN,24,S,N,S,N,4,F,1,0,0,0,3,5501,13,12,5.6,7,  1.86 ,  10.40 ,0
72,CPN,24,S,N,S,N,,F,1,0,0,0,3,,36,4,7.15,7,  5.14 ,  36.77 ,1
76,CPN,24,S,N,S,N,,F,1,0,0,0,3,5517,36,6,7.67,7,  5.14 ,  39.45 ,1
77,LA,26,S,N,S,N,3,F,1,0,0,0,3,5501,33,3,7.89,7,  4.71 ,  37.20 ,1
78,CPN,25,S,N,S,N,3,M,1,0,0,0,3,5500,25,4,7.1,7,  3.57 ,  25.36 ,1
80,LA,25,S,N,N,N,0,M,1,0,0,0,1,5541,25,7,6.69,7,  3.57 ,  23.89 ,0
81,CPN,24,N,N,S,N,1,M,1,0,0,0,3,5500,22,8,6.43,7,  3.14 ,  20.21 ,0
82,CPN,24,S,S,N,N,0,M,1,0,0,0,3,5521,34,9,7.14,7,  4.86 ,  34.68 ,1
84,CPN,25,S,S,N,N,0,F,1,0,0,0,3,5501,24,6,6.97,7,  3.43 ,  23.90 ,0
86,CPN,26,S,N,N,S,0,F,1,0,0,0,3,5521,23,13,6.33,7,  3.29 ,  20.80 ,0
